# VoxWrite offline Pinyin lexicon v2
# Generated from jieba 0.42.1 + pypinyin 0.55.0 (MIT)
a	啊 阿 嗄 锕
tanhuayixian	昙花一现
tanhuo	炭火
tanhusebian	谈虎色变
taniya	塔尼亚
tanji	谈及
tanjia	谭家
tanjian	探监
tanjiayuan	谭家渊
tanjiazhou	谭家洲
tanjiu	探究
tanju	炭疽
tankai	摊开
tanke	坦克
tankebing	坦克兵
tankeche	坦克车
tankepao	坦克炮
tankeshi	坦克师
tanketuan	坦克团
tankonghuojian	探空火箭
tankongyi	探空仪
tankuang	探矿
tanlan	贪婪
tanleiqi	探雷器
tanli	弹力
tanlian	贪恋
tanlianai	谈恋爱
tanliben	覃立本
tanlu	探路 袒露
tanlun	谈论
tanma	探马
tanmi	探秘
tanming	探明
tanmo	贪墨
tanmu	檀木
tannangquwu	探囊取物
tannian	贪念
tanpai	摊派 摊牌
tanpan	谈判
tanpanzhuo	谈判桌
tanpingshan	谭平山
tanpu	摊铺
tanqi	谈起 叹气
tanqian	摊前
tanqin	探亲 弹琴
tanqinghuahewu	碳氢化合物
tanqingshuoai	谈情说爱
tanqiu	探求
tanqixiang	谭其骧
tanran	坦然
tanruan	瘫软
tansangniya	坦桑尼亚
tanse	贪色
tanshang	探伤
tanshe	弹射
tanshengpasi	贪生怕死
tanshi	探视
tanshihuai	檀石槐
tanshuai	坦率
tanshui	潭水
tanshuihuahewu	碳水化合物
tansitong	谭嗣同
tansu	碳素 炭素
tansuan	碳酸
tansuangai	碳酸钙
tansuanjia	碳酸钾
tansuanli	碳酸锂
tansuanna	碳酸钠
tansuanqingan	碳酸氢铵
tansuanqingna	碳酸氢钠
tansuanyan	碳酸盐
tansuanyanyan	碳酸盐岩
tansugang	碳素钢
tansuo	探索
tansuoxing	探索性
tansuozhe	探索者
tanta	坍塌
tantai	澹台
tantaiwei	澹台玮
tantan	谈谈
tantanshou	摊摊手
tantao	探讨
tante	忐忑
tantebuan	忐忑不安
tantian	谈天
tantianshuodi	谈天说地
tanting	探听
tantou	探头 滩头
tantoutannao	探头探脑
tantu	贪图 滩涂 谈吐 坦途
tanwan	贪玩
tanwang	探望
tanwangsong	谭望嵩
tanwei	摊位
tanweiguanzhi	叹为观止
tanwen	探问
tanwu	贪污
tanwufan	贪污犯
tanwufuhua	贪污腐化
tanwuzui	贪污罪
tanxi	叹息 叹惜
tanxian	探险
tanxiandui	探险队
tanxiang	檀香
tanxiangmu	檀香木
tanxiangshan	檀香山 檀香扇
tanxianjia	探险家
tanxianwei	碳纤维
tanxianzhe	探险者
tanxiao	谈笑
tanxiaofengsheng	谈笑风生
tanxiaoziruo	谈笑自若
tanxin	谈心 贪心
tanxing	弹性 谈兴
tanxingmoliang	弹性模量
tanxingti	弹性体
tanxinpei	谭鑫培
tanxun	探寻 探询
tanyan	坦言
tanyang	滩羊
tanyingzhou	谈瀛洲
tanyu	贪欲 痰盂
tanyuan	探源
tanyuanchun	谭元春
tanzang	贪赃
tanzangwangfa	贪赃枉法
tanzhaodeng	探照灯
tanzhen	探针
tanzhenlin	谭震林
tanzhi	探知
tanzhonglin	谭钟麟 谭仲麟
tanzhu	摊主 坛主
tanzi	摊子 探子 坛子 毯子 谈资
tanziguai	谭子拐
tao	逃 套 讨 桃 掏 陶 韬 涛 淘 饕 绦 嫍 迯 洮 滔 鼗 弢 萄 檮 縧 韜 匋 醄 絛 绹 祹 啕 搯 咷 梼 慆 騊
taoben	逃奔
taobi	逃避
taobing	逃兵
taobojun	陶伯钧
taocan	套餐
taochengzhang	陶成章
taochong	绦虫
taochu	掏出 逃出
taoci	陶瓷
taociqi	陶瓷器
taocuan	逃窜
taodun	逃遁
taofa	讨伐
taofan	讨饭 逃犯
taofang	套房 陶方
taofeike	陶菲克
taogen	桃根
taogong	陶工
taogonge	陶宫娥
taoguan	陶罐 套管
taoguangyanghui	韬光养晦
taohao	讨好
taohe	洮河 桃核
taohong	桃红
taohongjing	陶弘景
taohongying	陶红英
taohua	桃花 套话
taohuajie	桃花节
taohuan	讨还
taohuang	逃荒
taohuapu	桃花铺
taohuawu	桃花坞
taohuayuan	桃花源
taohuayun	桃花运
taohui	套汇
taojiahuanjia	讨价还价
taojian	套间 套件
taojiao	讨教
taojin	淘金
taojinhu	套近乎
taoke	逃课
taokong	掏空
taolao	套牢
taoli	逃离 桃李 套利
taolu	套路
taolun	讨论
taolunhui	讨论会
taolve	韬略
taomi	淘米
taoming	逃命
taomu	桃木
taonan	逃难
taoni	逃匿
taopao	逃跑
taopaozhuyi	逃跑主义
taopian	陶片
taopiao	逃票
taoqi	陶器 淘气
taoqian	掏钱 陶潜
taoqu	套曲 套取
taoran	陶然
taoranting	陶然亭
taorao	讨饶 叨扰
taoren	桃仁
taorenxihuan	讨人喜欢
taosan	逃散
taose	套色 桃色
taoshan	桃山
taosheng	逃生 涛声
taoshenghuo	讨生活
taoshu	桃树 套数
taoshui	逃税
taosiju	陶驷驹
taosu	陶塑
taosuo	套索
taotai	淘汰
taotailv	淘汰率
taotaisai	淘汰赛
taotangshi	陶唐氏
taotao	滔滔 套套
taotaobujue	滔滔不绝
taotian	滔天
taotianzuixing	滔天罪行
taotie	饕餮
taotong	套筒
taotu	陶土
taotuo	逃脱
taowang	逃亡 逃往
taowangzhe	逃亡者
taowen	套问
taoxi	淘洗
taoxian	套现
taoxingzhi	陶行知
taoxiyi	陶希夷
taoxue	逃学
taoyan	讨厌
taoyao	讨要
taoyaobao	掏腰包
taoye	陶冶 陶业
taoyexingqing	陶冶性情
taoyi	逃逸
taoyin	套印
taoyong	套用 陶俑
taoyuan	桃园 桃源
taoyuanming	陶渊明
taozhai	讨债
taozhe	陶者
taozhexuan	陶哲轩
taozhi	陶制
taozhiyaoyao	逃之夭夭
taozhong	套种
taozhou	洮州
taozhu	陶铸
taozhuang	套装
taozi	桃子 套子
taozian	陶子安
taozongyi	陶宗仪
taozou	逃走
taozui	陶醉
tapa	塔帕
tapian	拓片
taping	踏平
tapotiexie	踏破铁鞋
taqing	踏青
taren	他人
taru	踏入
tasha	他杀
tashan	塔山
tashang	踏上
tashanshi	他山石
tashanzhishi	他山之石
tashen	塔什
tashenkuergan	塔什库尔干
tashi	踏实 塌实 塔式
tashigan	塔什干
tasiman	塔斯曼
tasimaniya	塔斯马尼亚
tasimaniyadao	塔斯马尼亚岛
tasishe	塔斯社
tataer	塔塔儿 塔塔尔
tataerzu	塔塔尔族
tatai	塔台
tatashishi	踏踏实实
tate	塔特
taxian	塌陷
taxiangyuguzhi	他乡遇故知
taxier	塔希尔
taxing	塔形
taxiti	塔希提
taxue	踏雪
tayong	他用
tazhong	塔中
tazu	踏足
te	特 忒 慝 蟘 鋱 铽 忑
tebian	特变
tebie	特别
tebiejiang	特别奖
tebiequ	特别区
techan	特产
techang	特长
techangsheng	特长生
techanpin	特产品
techu	特出
teci	特此
teda	特大
tedaxing	特大型
tedeng	特等
tedengjiang	特等奖
tedi	特地
tedian	特点
teding	特定
teduo	特多
teersi	特尔斯
tefaxing	特发性
tegao	特高 特稿
tegaote	特高特
tegong	特工
tehui	特惠
tehun	特混
tehunjiandui	特混舰队
teji	特级 特技 特辑
tejia	特价
tejiao	特教
tejing	特警
tekan	特刊
teke	特科 特克
tekesi	特克斯
tekesihe	特克斯河
tekuai	特快
tekuaizhuandi	特快专递
tekun	特困
tekunhu	特困户
tekunsheng	特困生
tela	特拉
telafude	特拉福德
telahe	特拉赫
telahuazhou	特拉华州
telasi	特拉斯
telaweifu	特拉维夫
teleike	特勒克
teleiwei	特雷维
teleiweisuo	特雷维索
teleixiya	特蕾西亚
teli	特里 特例 特力
teliao	特里奥
teliduxing	特立独行
telier	特里尔
telinida	特立尼达
telinidadao	特立尼达岛
teliya	特里亚
teluofu	特洛夫
teluosi	特罗斯
teluoyi	特洛伊
teluxiai	特鲁西埃
teluxilve	特鲁希略
tema	特马
teming	特命
temuer	特穆尔
tena	特纳
teng	疼 腾 藤 痋 滕 誊 縢 熥 騰 邆
tengai	疼爱
tengben	藤本
tengbenzhiwu	藤本植物
tengchong	腾冲
tengchu	腾出
tengda	腾达
tengdaiyuan	滕代远
tengfei	腾飞
tenggeli	腾格里
tenggelishamo	腾格里沙漠
tenghu	藤壶
tengkong	腾空
tengkongerqi	腾空而起
tenglongdong	腾龙洞
tengluo	藤萝
tengnuo	腾挪
tengpai	藤牌
tengqi	腾起
tengqiu	藤球
tengtengteng	腾腾腾
tengtiao	藤条
tengtong	疼痛
tengwan	藤蔓
tengwangge	滕王阁
tengwengong	滕文公
tengwensheng	滕文生
tengxi	疼惜
tengxian	藤县
tengxie	誊写
tengxun	腾讯
tengyi	藤椅
tengyilei	滕一雷
tengyue	腾跃 腾越
tengyunjiawu	腾云驾雾
tenuoqi	特诺奇
tepai	特派
tepaiyuan	特派员
tepi	特批
tepin	特聘
teqian	特遣
teqianbudui	特遣部队
teqiandui	特遣队
teqin	特勤
teqindui	特勤队
teqintuan	特勤团
tequ	特区
tequan	特权
tese	特色
teshe	特赦 特设
teshi	特使
teshou	特首
teshu	特殊
teshugang	特殊钢
teshuhua	特殊化
teshujiaoyu	特殊教育
teshuxing	特殊性
teshuzifu	特殊字符
tesi	特斯
tesila	特斯拉
tewei	特委 特为
teweihui	特委会
tewu	特务
texiao	特效
texiaoyao	特效药
texie	特写
texing	特性
texu	特许 特需
texuquan	特许权
teyao	特邀
teyi	特意 特异
teyigongneng	特异功能
teyiran	特亦然
teyixing	特异性
teyou	特有
teyouzhong	特有种
teyue	特约
tezheng	特征
tezhengxing	特征性
tezhengzhi	特征值 特政制
tezhi	特制 特质 特指
tezhong	特种 特重
tezhongbing	特种兵
tezhongbudui	特种部队
ti	提 体 题 替 踢 鍗 梯 剃 蹄 洟 锑 啼 缇 剔 涕 惕 悌 绨 綈 殢 鶗 髰 軆 體 裼 屉 倜 鳀 擿 荑 薙 逖
tian	天 田 甜 添 填 提案 舔 鍩 畠 忝 阗 搷 腆 恬 湉 唺 畑 殄 畋 掭 靦 菾 餂 屇 悿 晪
tianan	天安
tiananmen	天安门
tiananmenchenglou	天安门城楼
tiananmenguangchang	天安门广场
tianbao	填报 天宝 天保
tianbengdilie	天崩地裂
tianbian	天边 田边
tianbiao	填表
tianbing	天兵
tianbingyi	田秉毅
tianbo	天波
tianboguang	田伯光
tianbotao	田伯涛
tianbu	填补
tianbupa	天不怕
tianbuzhichi	恬不知耻
tiancai	天才 甜菜
tianchadiyuan	天差地远
tianchan	田产
tianchangdijiu	天长地久
tianchangrijiu	天长日久
tianchao	天朝
tiancheng	天成 天城 甜橙
tianchengzhong	田承忠
tianchi	天池
tianchong	填充
tianchongwu	填充物
tianchou	田畴
tianchuang	天窗
tianci	填词 天赐
tianciliangji	天赐良机
tiancong	天聪
tianda	天大
tiandage	田大哥
tiandan	恬淡 田单
tiandao	天道
tiandaoguan	天道观
tiande	天德
tiandi	天地 田地 天敌 天帝
tiandian	甜点
tiandihui	天地会
tiandiliangxin	天地良心
tianding	天顶
tiandixia	天底下
tiandou	天都
tiandu	甜度
tiane	天鹅
tianehu	天鹅湖
tianer	天儿
tianerong	天鹅绒
tianezhou	天鹅洲
tianezuo	天鹅座
tianfandifu	天翻地覆
tianfang	天方 天房
tianfangyetan	天方夜谭
tianfanjiang	田范江
tianfen	天分
tianfu	天府 天赋 田赋 天福 天父
tianfugao	田福高
tianfujun	田福军
tianfurenquan	天赋人权
tianfutang	田福堂
tianfuxian	田福贤
tianfuye	天福爷
tianfuzhiguo	天府之国
tiangan	天干
tiangang	天罡
tiangaodihou	天高地厚
tiangeng	田埂
tiangeyifang	天各一方
tiangong	天宫 天工 天公
tiangou	天狗
tiangua	甜瓜
tianguang	天光 天广
tianguihua	田桂花
tianguinong	田归农
tianguo	天国
tianhai	天海
tianhaimin	田海民
tianhan	田汉 天寒
tianhandidong	天寒地冻
tianhe	天河
tianhei	天黑
tianhejichang	天河机场
tianhequ	天河区
tianhong	天虹
tianhongyu	田弘遇
tianhou	天候
tianhougong	天后宫
tianhua	天花 天华
tianhuaban	天花板
tianhualuanzhui	天花乱坠
tianhuang	天皇
tianhuangqin	田皇亲
tianhuangzhi	天皇制
tianhui	天会
tianhundian	天昏地暗
tianhuo	天火
tianji	天机 天际 天极 田鸡
tianjia	添加 天价 田家
tianjiaji	添加剂
tianjian	田间 天监
tianjiang	天将
tianjianxiu	田见秀
tianjiao	天骄
tianjiawu	添加物
tianjie	天街 天界
tianjin	天津
tianjindaxue	天津大学
tianjindiqu	天津地区
tianjindui	天津队
tianjing	田径 天井 恬静 天镜
tianjingang	天津港
tianjingdiyi	天经地义
tianjingsai	田径赛
tianjingyundong	田径运动
tianjinnvpai	天津女排
tianjinren	天津人
tianjinshi	天津市
tianjintaida	天津泰达
tianjiu	甜酒
tianjiwang	天极网
tiankai	天开
tiankong	天空 填空
tianlai	天籁
tianlan	天蓝
tianlangxing	天狼星
tianlanse	天蓝色
tianli	田里 天理
tianliang	天亮 天良 田亮 天梁
tianliao	填料
tianlie	田猎
tianlinggai	天灵盖
tianlingniao	天铃鸟
tianlong	天龙
tianluan	添乱
tianlunzhile	天伦之乐
tianluo	田螺
tianluodiwang	天罗地网
tianma	天麻 天马
tianmafan	添麻烦
tianmai	填埋
tianman	填满
tianmaxingkong	天马行空
tianmei	甜美
tianmen	天门
tianmendong	天门冬
tianmenshi	天门市
tianmi	甜蜜
tianming	天明 天命
tianmu	田亩 天目 天幕
tianmushan	天目山
tiannan	天南
tiannandibei	天南地北
tiannanhaibei	天南海北
tiannanxing	天南星
tiannaxi	田纳西
tiannaxizhou	田纳西州
tianningsi	天宁寺
tianniu	天牛
tiannurenyuan	天怒人怨
tiannv	天女
tiannvsanhua	天女散花
tianpaochuang	天疱疮
tianpeng	天棚 天蓬
tianpin	甜品
tianping	天平 填平
tianqi	天气 田七 田契
tianqian	天堑
tianqiao	天桥
tianqing	天青 天晴
tianqinglian	田青廉
tianqingshi	天青石
tianqingwen	田青文
tianqinzuo	天琴座
tianqiong	天穹
tianqitu	天气图
tianqiu	天球
tianqiuyi	天球仪
tianqixue	天气学
tianran	天然
tianrangzhibie	天壤之别
tianranjian	天然碱
tianranlin	天然林
tianranqi	天然气
tianranshui	天然水
tianren	天人
tianrenheyi	天人合一
tianrenlong	田人隆
tianri	天日
tianrunsheng	田润生
tianrunye	田润叶
tianse	天色 填塞
tianshan	天山
tianshang	天上
tianshangrenjian	天上人间
tianshannanbei	天山南北
tianshanshanmai	天山山脉
tianshe	田舍 添设
tianshen	天神
tiansheng	天生 天圣 天盛
tianshenglizhi	天生丽质
tianshengqiao	天生桥
tianshi	天使 天师 天时 甜食 恬适
tianshidili	天时地利
tianshili	天士力
tianshoulifayanzuo	天授礼法延祚
tianshu	天数 天书 田鼠
tianshui	天水
tianshuishi	天水市
tianshun	天顺
tiansisi	甜丝丝
tiantai	天台
tiantaishan	天台山
tiantaizong	天台宗
tiantan	天坛
tiantang	天堂
tianti	天体 天梯
tiantian	天天
tiantiande	甜甜的
tiantiandi	甜甜地
tiantiao	天条
tianting	天庭
tiantou	甜头 田头
tiantu	填涂 田土
tianwai	天外
tianwaiyoutian	天外有天
tianwang	天王 天网
tianwangdian	天王殿
tianwanghuihui	天网恢恢
tianwanglaozi	天王老子
tianwangxing	天王星
tianwei	天威 甜味
tianweibaobian	天威保变
tianweiji	甜味剂
tianweiying	天威英
tianwen	天文 天问
tianwendanwei	天文单位
tianwendili	天文地理
tianwenguan	天文馆
tianwenlisuan	天文历算
tianwenshuzi	天文数字
tianwentai	天文台
tianwenxue	天文学
tianwenxuejia	天文学家
tianwujuerenzhilu	天无绝人之路
tianxia	天下
tianxiadaluan	天下大乱
tianxiadazhi	天下大治
tianxiadiyi	天下第一
tianxian	天线 天仙 天险
tianxiang	天象 甜香
tianxianggong	田相公
tianxiaode	天晓得
tianxiaomeng	田晓萌
tianxiaoxia	田晓霞
tianxiaren	天下人
tianxiashi	天下事
tianxiataiping	天下太平
tianxiaweigong	天下为公
tianxiawudi	天下无敌
tianxiawushuang	天下无双
tianxie	填写
tianxiezuo	天蝎座
tianxin	天心
tianxing	天星 天性 天幸 天兴
tianxinzhang	田信长
tianxinzhou	天心洲
tianxiong	天雄
tianxuandizhuan	天旋地转
tianya	天涯 天呀 天崖
tianyahaijiao	天涯海角
tianyan	天眼
tianyanlun	天演论
tianyanmiyu	甜言蜜语
tianye	田野 天业
tianyi	天一 天意
tianyibo	天义伯
tianyige	天一阁
tianying	天鹰
tianyingzuo	天鹰座
tianyishu	天义叔
tianyiwufeng	天衣无缝
tianyizhuang	田义庄
tianyou	天佑
tianyoubucefengyun	天有不测风云
tianyoujiacu	添油加醋
tianyu	天宇 天域
tianyuan	田园 天元 天圆 天缘
tianyuanshi	田园诗
tianyuanzhan	天元战
tianyuke	田玉科
tianzai	天灾
tianzairenhuo	天灾人祸
tianzang	天葬
tianzaodishe	天造地设
tianzhang	天长
tianzhangchao	田长焯
tianzhanglin	田长霖
tianzhen	天真
tianzheng	天正
tianzhenlanman	天真烂漫
tianzhenwuxie	天真无邪
tianzhenying	田震英
tianzhi	添置 天职 填制
tianzhidao	天知道
tianzhijiaozi	天之骄子
tianzhong	田中
tianzhu	天竺 天柱 天主 田主 填筑
tianzhuang	田庄
tianzhuanjiawa	添砖加瓦
tianzhudimie	天诛地灭
tianzhufeng	天柱峰
tianzhujiao	天主教
tianzhujiaoaiguohui	天主教爱国会
tianzhujiaohui	天主教会
tianzhujiaotang	天主教堂
tianzhujiaotu	天主教徒
tianzhushan	天柱山
tianzhutang	天主堂
tianzi	天子 天资 天字
tianzidiyihao	天字第一号
tianzong	天纵
tianzu	田租
tianzun	天尊
tianzuodi	天祚帝
tiao	条 跳 挑 庣 祧 龆 笤 粜 窕 眺 脁 朓 髫 蜩 鞗 鲦 佻 岧 迢 蓨 鋚 鯈 條 祒 絩
tiaoban	跳板
tiaobo	挑拨 条播
tiaobolijian	挑拨离间
tiaocao	跳槽
tiaochen	条陈
tiaochu	跳出 挑出 调处
tiaoci	挑刺
tiaodai	条带
tiaodaliang	挑大梁
tiaodan	挑担
tiaodang	调档 跳荡
tiaodeng	条凳 挑灯
tiaodengyezhan	挑灯夜战
tiaodiao	调调
tiaodong	跳动 挑动
tiaodou	挑逗
tiaofeijianshou	挑肥拣瘦
tiaofenlvxi	条分缕析
tiaofu	条幅 调幅 挑夫
tiaogao	跳高
tiaogui	条规
tiaohe	调和 跳河 调合
tiaohezhuyi	调和主义
tiaohua	挑花
tiaoji	调剂
tiaojia	调价
tiaojian	条件 挑拣
tiaojianfanshe	条件反射
tiaojianzhe	条件者
tiaojiao	调教 跳脚
tiaojie	调节 调解
tiaojieji	调节剂
tiaojieqi	调节器
tiaojieren	调解人
tiaojin	跳进
tiaojing	跳井
tiaokan	调侃
tiaokong	调控
tiaokuai	条块
tiaokuaifenge	条块分割
tiaokuan	条款
tiaoli	条例 调理 条理
tiaoliao	调料
tiaoling	条令
tiaolou	跳楼
tiaoma	条码 跳马
tiaoming	挑明
tiaomu	条目
tiaonong	调弄
tiaopi	调皮
tiaopin	调频
tiaoqi	挑起 跳棋
tiaoqing	调情
tiaoren	调人
tiaoru	跳入
tiaosan	跳伞
tiaosanjiansi	挑三拣四
tiaoshe	调摄
tiaoshen	跳神
tiaosheng	跳绳
tiaoshi	调试 条石 调适 挑食
tiaoshu	跳鼠
tiaoshui	跳水 挑水
tiaosuo	调唆 挑唆
tiaotai	跳台
tiaoti	挑剔
tiaotiao	条条 迢迢
tiaotiaokuangkuang	条条框框
tiaoting	调停
tiaotou	跳投 挑头
tiaowang	眺望
tiaowei	调味
tiaoweiliao	调味料
tiaoweipin	调味品
tiaoweipinchang	调味品厂
tiaowen	条文 条纹 调温
tiaowu	跳舞
tiaoxi	调戏
tiaoxiao	调笑
tiaoxie	调谐
tiaoxin	挑衅
tiaoxing	条形
tiaoxingma	条形码
tiaoxinxing	挑衅性
tiaoxuan	挑选
tiaoyang	调养
tiaoyin	调音
tiaoyuan	跳远
tiaoyue	条约 跳跃
tiaoyuefa	条约法
tiaoyueshi	跳跃式
tiaoyun	调匀
tiaozao	跳蚤
tiaozaoshichang	跳蚤市场
tiaozhan	挑战
tiaozhansai	挑战赛
tiaozhanxing	挑战性
tiaozhanzhe	挑战者
tiaozheng	调整
tiaozhi	调制 调治
tiaozhijietiaoqi	调制解调器
tiaozhiqi	调制器
tiaozhou	笤帚
tiaozhuang	条状
tiaozhuo	条桌
tiaozi	条子 挑子
tiba	提拔 题跋
tibao	提包
tibi	提笔 体壁
tibiao	体表
tibu	替补
tibuxi	替补席
ticai	题材 体裁
ticao	体操
ticaodui	体操队
ticha	体察
tichang	提倡
ticheng	提成
tichu	提出 剔除
tichun	提纯
tici	题词 梯次
tida	踢打
tidai	替代
tidaipin	替代品
tidaixing	替代性
tidan	提单
tidao	提到 剃刀
tideng	提灯
tidiao	提调
tidu	提督 梯度 剃度
tidui	梯队
tie	铁 贴 帖 萜 呫 餮 鐡 怗 貼 鐵
tieban	铁板
tiebang	铁棒
tiebanqiao	铁板桥
tiebanyikuai	铁板一块
tiebi	铁笔
tiebian	铁鞭
tiebing	铁饼
tiebu	贴补
tiechan	铁铲
tiechang	铁厂
tiechuang	铁窗 铁床
tiechui	铁锤
tieci	铁磁
tieciti	铁磁体
tieda	铁打
tiedanzhuang	铁胆庄
tiedao	铁道
tiedaobing	铁道兵
tiedaobu	铁道部
tieding	铁钉 铁定
tiefanwan	铁饭碗
tiefen	铁粉
tiegan	铁杆
tiegong	铁工
tiegu	铁箍 铁骨
tieguan	铁管
tieguandaoren	铁冠道人
tieguanyin	铁观音
tieguanying	铁官营
tiegui	铁轨 铁柜
tiegun	铁棍
tieguo	铁锅
tiehe	铁盒
tiehejin	铁合金
tiehuan	铁环
tieji	铁戟
tiejia	铁甲 铁架
tiejiajian	铁甲舰
tiejiang	铁匠
tiejiangpu	铁匠铺
tiejili	铁蒺藜
tiejin	贴金 贴近 贴紧
tiejun	铁军
tiekuai	铁块
tiekuang	铁矿
tiekuangsha	铁矿砂
tiekuangshi	铁矿石
tielangan	铁栏杆
tielian	铁链
tieling	铁岭
tielingshi	铁岭市
tieliu	铁流
tielong	铁笼
tielu	铁路 铁炉
tieluju	铁路局
tieluohan	铁罗汉
tieluqiao	铁路桥
tieluwang	铁路网
tieluxian	铁路线
tiema	铁马
tiemao	铁锚 铁帽
tiemen	铁门
tiemian	铁面 贴面
tiemiankong	铁面孔
tiemianwusi	铁面无私
tiemudie	铁木迭
tiemuer	铁穆耳
tiemuzhen	铁木真
tieniu	铁牛
tienti	梯恩梯
tiepi	铁皮
tiepian	铁片 贴片
tieqi	铁器 铁骑
tieqian	铁钎
tieqiao	铁锹 铁桥
tieqie	贴切
tieqin	铁琴
tieqing	铁青
tiequan	铁拳
tieren	铁人
tiesanjiao	铁三角
tiesha	铁砂
tieshan	铁杉 铁山
tieshanqu	铁山区
tieshen	贴身
tieshi	铁石
tieshixinchang	铁石心肠
tieshu	铁树
tieshui	铁水
tiesi	铁丝
tiesiwang	铁丝网
tiesuanpan	铁算盘
tiesuo	铁锁 铁索
tiesuoqiao	铁索桥
tieta	铁塔
tieti	铁蹄
tietong	铁桶 铁通
tietou	铁头
tietu	贴图
tietuo	铁托
tiewan	铁腕
tiexi	贴息
tiexian	贴现 铁锨 铁线
tiexianlv	贴现率
tiexie	铁屑
tiexin	贴心 铁心 铁芯
tiexiu	铁锈
tiexue	铁血
tieyangti	铁氧体
tieyou	贴有
tiezha	铁闸
tiezhalan	铁栅栏
tiezhang	铁掌 铁杖
tiezhe	贴着
tiezhen	铁砧
tiezheng	铁证
tiezhengrushan	铁证如山
tiezhengzheng	铁铮铮
tiezhi	铁制 铁质
tiezhu	铁柱
tiezi	帖子 贴子
tiezui	铁嘴
tifa	提法 体罚
tifaling	剃发令
tigaiwei	体改委
tigan	提干
tigang	提纲
tigangqieling	提纲挈领
tigao	提高
tige	体格
tigexing	提个醒
tigong	提供
tigongdui	体工队
tigongshang	提供商
tigongzhe	提供者
tigu	剔骨
tiguangtou	剃光头
tihai	题海
tihaizhanshu	题海战术
tihong	剔红
tihu	鹈鹕 醍醐
tihua	提花
tihuan	替换
tihuguanding	醍醐灌顶
tihui	体会
tihuo	提货
tiji	体积 提及 梯级 题记
tijia	提价
tijian	体检
tijianbiao	体检表
tijiao	提交 啼叫
tijie	体节
tike	题刻
tiku	啼哭 题库
tikuan	提款
tikuanquan	提款权
tila	提拉
tilan	提篮
tilei	涕泪
tili	体力 体例
tilian	提炼
tiliang	体谅 体量
tiliu	提留
timao	体毛 体貌
timian	体面
timing	提名 啼鸣 题名
timinglu	题名录
timu	题目
tinei	体内
tineng	体能
ting	听 停 厅 挺 亭 廷 艇 閮 庭 汀 烃 厛 町 婷 綎 梃 蜓 霆 烶 耓 聤 圢 珽 嵉 葶 莛 颋 侹 渟 烴 鞓 桯
tingba	听罢 挺拔
tingban	停办
tingbo	停泊
tingbu	停步
tingbude	听不得
tingchai	听差
tingchan	停产
tingche	停车
tingchechang	停车场
tingchefei	停车费
tingchewei	停车位
tingcong	听从
tingcuo	听错
tingdang	停当
tingdao	听到
tingdian	停电
tingdong	听懂
tingdun	停顿
tingerbuwen	听而不闻
tingerzouxian	铤而走险
tingfa	停发
tingfang	停放 厅房
tingfei	停飞
tinggong	停工
tinggua	挺括
tinghang	停航
tinghou	听候
tinghua	听话
tinghuo	停火
tingji	停机
tingjian	听见 停建
tingjiang	听讲 汀江
tingjin	挺进
tingjing	停经
tingjiping	停机坪
tingju	挺举
tingjue	听觉
tingkan	停刊
tingkao	停靠
tingke	听课 停课
tinglei	烃类
tingli	听力 挺立 厅里
tingling	停灵
tingliu	停留
tingming	听命
tingpai	停牌
tingping	听凭
tingqi	挺起
tingqiyan	听其言
tingqu	听取
tingren	听任
tingsai	停赛
tingshen	挺身 庭审
tingshenerchu	挺身而出
tingshi	停尸
tingshou	停手
tingshuo	听说
tingsiqiao	汀泗桥
tingtai	亭台
tingtailouge	亭台楼阁
tingtang	厅堂
tingtianyouming	听天由命
tingting	听听 停停
tingtingyuli	亭亭玉立
tingtong	听筒
tingwei	廷尉
tingwen	听闻
tingxi	停息 听戏
tingxia	停下
tingxie	停歇 听写 亭榭
tingxin	听信
tingxiong	挺胸
tingye	停业
tingyong	停用
tingyuan	庭院 庭园
tingyun	停运
tingzhan	停战
tingzhang	廷杖 庭长 厅长 艇长 亭长
tingzhe	听者
tingzhen	听诊
tingzheng	听证 听政
tingzhenghui	听证会
tingzhenqi	听诊器
tingzhi	停止 停滞 挺直 停职
tingzhibuqian	停滞不前
tingzhirenzhi	听之任之
tingzhong	听众
tingzhuang	挺撞
tingzi	亭子
tingzijian	亭子间
tinian	体念
tipo	体魄
tiqi	提起 涕泣
tiqian	提前
tiqiang	体腔
tiqin	提亲 提琴
tiqing	提请
tiqiu	踢球
tiqu	提取
tiquwu	提取物
tiren	替人
tiruo	体弱
tiruoduobing	体弱多病
tise	体色
tishen	提审 替身 提神
tisheng	提升 蹄声 啼声
tishengji	提升机
tishi	提示 题诗 体式
tishifu	提示符
tishixing	提示性
tishou	提手
tishui	提水
tisigui	替死鬼
tisu	提速
tita	踢踏
titai	体态
titan	体坛
titang	倜傥
titian	梯田
titianxingdao	替天行道
titie	体贴
titieruwei	体贴入微
titong	体统
titou	剃头
titoujiang	剃头匠
titui	踢腿
tiwai	体外 题外
tiwei	题为 体委 体味 体位
tiwen	提问 体温
tiwu	体悟
tiwuwanfu	体无完肤
tixi	体系
tixia	提辖
tixian	体现 提现
tixiang	提香
tixiao	体校
tixiaojiefei	啼笑皆非
tixibao	体细胞
tixie	题写 提携 体协
tixihua	体系化
tixijiegou	体系结构
