# VoxWrite offline Pinyin lexicon v2
# Generated from jieba 0.42.1 + pypinyin 0.55.0 (MIT)
a	啊 阿 嗄 锕
baishe	摆设 白蛇
baishechuan	白蛇传
baishen	拜神
baisheng	百胜
baishengsheng	白生生
baishi	白石 百十 拜师 百事 百世
baishige	百十个
baishijing	白世镜
baishikele	百事可乐
baishili	百十里
baishiyouyu	败事有余
baishou	摆手 拜寿 百兽
baishouqijia	白手起家
baishu	柏树 白薯 白鼠
baishuang	白霜
baishui	白水
baishuijiang	白水江
baisi	柏斯
baisibudeqijie	百思不得其解
baisishiliu	百四十六
baisong	白送
baisu	败诉
baisui	百岁
baita	白塔
baitan	摆摊
baitang	拜堂 白糖
baitasi	白塔寺
baiteng	白藤
baitian	白天
baitiandi	拜天地
baitiane	白天鹅
baitiao	白条 百条
baitong	白铜
baitou	百头 白头
baitoushan	白头山
baitoushantianchi	白头山天池
baitouxielao	白头偕老
baitu	白兔
baituandazhan	百团大战
baitui	败退
baituo	摆脱 拜托
baiwan	百万
baiwandun	百万吨
baiwanfenzhiyi	百万分之一
baiwanfuweng	百万富翁
baiwang	败亡 拜望
baiwanjian	白万剑
baiwanmeiyuan	百万美元
baiwannian	百万年
baiwanxiongshi	百万雄师
baiwanyuan	百万元
baiwei	百位 百味
baiweihua	柏卫华
baiwen	白文
baiwenjie	白文杰
baiwujiao	拜物教
baiwujinji	百无禁忌
baiwukuang	白钨矿
baiwuliaolai	百无聊赖
baixi	百戏 白皙
baixian	白鹇
baixiang	白象
baixiaowen	白孝文
